payment_id,subscription_id,payment_date,amount,payment_status
1,1,2025-09-09,9.99,Success
2,1,2025-10-09,9.99,Success
3,1,2025-11-08,9.99,Success
4,1,2025-12-08,9.99,Success
5,1,2026-01-07,9.99,Success
6,1,2026-02-06,9.99,Success
7,1,2026-03-08,9.99,Success
8,1,2026-04-07,9.99,Success
9,1,2026-05-07,9.99,Success
10,1,2026-06-06,9.99,Success
11,2,2026-02-12,9.99,Success
12,2,2026-03-14,9.99,Success
13,2,2026-04-13,9.99,Success
14,2,2026-05-13,9.99,Success
15,2,2026-06-12,9.99,Success
16,3,2025-09-06,9.99,Success
17,3,2025-10-06,9.99,Success
18,3,2025-11-05,9.99,Success
19,3,2025-12-05,9.99,Success
20,3,2026-01-04,9.99,Success
21,3,2026-02-03,9.99,Success
22,3,2026-03-05,9.99,Success
23,3,2026-04-04,9.99,Success
24,3,2026-05-04,9.99,Success
25,3,2026-06-03,9.99,Success
26,4,2026-06-21,24.99,Success
27,5,2025-10-09,24.99,Success
28,5,2025-11-08,24.99,Success
29,5,2025-12-08,24.99,Success
30,5,2026-01-07,24.99,Success
31,5,2026-02-06,24.99,Success
32,5,2026-03-08,24.99,Success
33,5,2026-04-07,24.99,Success
34,5,2026-05-07,24.99,Success
35,5,2026-06-06,24.99,Success
36,6,2025-05-14,9.99,Success
37,6,2025-06-13,9.99,Success
38,6,2025-07-13,9.99,Success
39,6,2025-08-12,9.99,Success
40,6,2025-09-11,9.99,Success
41,6,2025-10-11,9.99,Success
42,6,2025-11-10,9.99,Success
43,6,2025-12-10,9.99,Success
44,6,2026-01-09,9.99,Success
45,6,2026-02-08,9.99,Success
46,6,2026-03-10,9.99,Success
47,6,2026-04-09,9.99,Success
48,6,2026-05-09,9.99,Success
49,6,2026-06-08,9.99,Success
50,7,2025-11-18,59.99,Success
51,7,2025-12-18,59.99,Success
52,7,2026-01-17,59.99,Success
53,7,2026-02-16,59.99,Success
54,7,2026-03-18,59.99,Success
55,7,2026-04-17,59.99,Success
56,7,2026-05-17,59.99,Success
57,7,2026-06-16,0.0,Refunded
58,8,2025-12-14,9.99,Success
59,8,2026-01-13,9.99,Success
60,8,2026-02-12,9.99,Success
61,8,2026-03-14,9.99,Success
62,8,2026-04-13,9.99,Success
63,8,2026-05-13,9.99,Success
64,8,2026-06-12,9.99,Success
65,9,2025-12-08,59.99,Success
66,9,2026-01-07,59.99,Success
67,9,2026-02-06,59.99,Success
68,9,2026-03-08,59.99,Success
69,9,2026-04-07,59.99,Success
70,9,2026-05-07,59.99,Success
71,9,2026-06-06,59.99,Success
72,10,2025-11-24,59.99,Success
73,10,2025-12-24,59.99,Success
74,10,2026-01-23,59.99,Success
75,10,2026-02-22,59.99,Success
76,10,2026-03-24,59.99,Success
77,10,2026-04-23,0.0,Failed
78,10,2026-05-23,59.99,Success
79,10,2026-06-22,59.99,Success
80,11,2026-01-27,24.99,Success
81,11,2026-02-26,24.99,Success
82,11,2026-03-28,24.99,Success
83,11,2026-04-27,24.99,Success
