subscription_id,user_id,tool_id,plan,monthly_price,start_date,end_date,status
1,4,2,Basic,9.99,2025-09-09,,Active
2,5,20,Basic,9.99,2026-02-12,,Active
3,6,20,Basic,9.99,2025-09-06,,Active
4,12,7,Pro,24.99,2026-06-21,,Active
5,13,2,Pro,24.99,2025-10-09,,Active
6,14,21,Basic,9.99,2025-05-14,,Active
7,16,24,Team,59.99,2025-11-18,,Active
8,20,18,Basic,9.99,2025-12-14,,Active
9,20,1,Team,59.99,2025-12-08,,Active
10,23,6,Team,59.99,2025-11-24,,Active
11,24,25,Pro,24.99,2026-01-27,,Active
12,25,23,Pro,24.99,2026-05-24,,Active
13,25,19,Basic,9.99,2026-04-30,,Active
14,26,25,Pro,24.99,2025-11-09,,Active
15,29,5,Team,59.99,2025-10-28,,Active
16,30,10,Basic,9.99,2025-12-06,,Active
17,35,16,Basic,9.99,2026-04-22,,Active
18,39,8,Pro,24.99,2025-11-29,,Active
19,41,22,Basic,9.99,2025-06-30,,Active
20,42,18,Pro,24.99,2026-06-30,,Active
21,46,17,Basic,9.99,2025-09-28,,Active
22,46,22,Basic,9.99,2025-07-22,,Active
23,47,30,Pro,24.99,2025-12-23,2026-03-20,Cancelled
24,47,5,Team,59.99,2025-11-20,2026-02-11,Cancelled
25,50,4,Basic,9.99,2025-12-03,,Active
26,54,1,Basic,9.99,2025-11-06,,Active
27,56,3,Basic,9.99,2025-12-08,,Active
28,62,1,Team,59.99,2026-04-11,,Active
29,63,7,Pro,24.99,2026-06-05,,Active
30,63,14,Basic,9.99,2025-10-11,,Active
31,64,11,Basic,9.99,2025-06-08,,Active
32,64,2,Pro,24.99,2025-05-18,,Active
33,68,3,Pro,24.99,2025-11-12,,Active
34,70,18,Pro,24.99,2026-01-20,,Active
35,70,1,Enterprise,149.99,2026-06-26,,Active
36,71,9,Basic,9.99,2026-02-06,,Active
37,71,21,Pro,24.99,2025-12-14,,Active
38,74,12,Pro,24.99,2025-09-25,2025-11-29,Cancelled
39,78,7,Team,59.99,2026-06-18,,Active
40,78,27,Team,59.99,2026-04-18,,Active
41,81,11,Pro,24.99,2025-12-23,,Active
42,81,30,Team,59.99,2025-11-07,,Active
43,82,4,Pro,24.99,2026-06-18,,Active
44,84,2,Team,59.99,2025-11-20,,Active
45,84,9,Basic,9.99,2026-05-09,,Active
46,88,4,Team,59.99,2025-11-03,,Active
47,89,7,Pro,24.99,2026-03-10,,Active
48,92,17,Pro,24.99,2026-02-02,,Active
49,92,8,Pro,24.99,2025-04-30,,Active
50,93,8,Basic,9.99,2026-02-28,,Active
51,95,19,Team,59.99,2025-09-12,,Active
52,96,10,Pro,24.99,2025-12-18,,Active
53,102,10,Basic,9.99,2026-04-06,,Active
54,104,11,Basic,9.99,2025-08-02,,Active
55,104,3,Pro,24.99,2025-09-11,,Active
56,105,29,Pro,24.99,2025-05-13,,Active
57,107,2,Basic,9.99,2025-09-23,,Active
58,108,7,Pro,24.99,2026-03-09,,Active
59,110,21,Pro,24.99,2025-08-27,,Active
60,112,3,Basic,9.99,2025-08-04,,Active
61,115,11,Basic,9.99,2026-01-28,,Active
62,116,13,Basic,9.99,2026-05-09,,Active
63,116,14,Pro,24.99,2026-03-03,,Active
64,124,23,Basic,9.99,2025-10-23,,Active
65,125,13,Team,59.99,2026-03-23,,Active
66,125,17,Pro,24.99,2026-04-14,,Active
67,127,1,Basic,9.99,2025-09-11,,Active
68,129,24,Team,59.99,2025-10-08,,Active
69,132,21,Enterprise,149.99,2025-06-27,,Active
70,133,10,Pro,24.99,2026-02-04,,Active
71,134,3,Basic,9.99,2026-05-13,,Active
72,137,2,Team,59.99,2025-11-02,,Active
73,145,8,Pro,24.99,2025-08-01,,Active
74,146,1,Basic,9.99,2025-08-04,,Active
75,147,18,Basic,9.99,2025-04-23,,Active
76,148,24,Basic,9.99,2026-04-15,,Active
77,153,11,Pro,24.99,2026-04-01,2026-05-27,Cancelled
78,154,20,Pro,24.99,2025-07-18,,Active
79,155,5,Basic,9.99,2025-07-13,,Active
80,158,10,Team,59.99,2026-05-25,,Active
81,159,21,Basic,9.99,2025-06-15,2025-11-07,Cancelled
82,159,30,Pro,24.99,2026-01-06,,Active
83,161,11,Pro,24.99,2026-06-11,,Active
84,161,21,Pro,24.99,2025-11-28,,Active
85,163,24,Pro,24.99,2025-06-27,,Active
86,163,19,Enterprise,149.99,2025-12-17,,Active
87,165,2,Pro,24.99,2025-04-01,,Active
88,167,30,Team,59.99,2025-11-27,2026-02-05,Cancelled
89,170,29,Basic,9.99,2025-03-05,,Active
90,170,22,Basic,9.99,2025-03-22,,Active
91,171,5,Team,59.99,2026-04-23,,Active
92,178,7,Basic,9.99,2025-12-05,,Active
93,178,30,Enterprise,149.99,2026-06-06,,Active
94,181,6,Team,59.99,2026-02-07,,Active
95,183,5,Pro,24.99,2025-09-15,,Active
96,183,15,Pro,24.99,2025-09-09,,Active
97,184,17,Basic,9.99,2026-01-13,,Active
98,184,14,Basic,9.99,2026-01-10,,Active
99,188,19,Basic,9.99,2025-10-21,,Active
100,189,28,Pro,24.99,2026-02-04,,Active
101,194,21,Basic,9.99,2026-03-02,,Active
102,195,7,Enterprise,149.99,2025-09-07,,Active
103,198,1,Basic,9.99,2026-06-19,,Active
