usage_id,user_id,tool_id,usage_date,sessions,prompts,minutes_used,tokens_used,tasks_completed
1,1,30,2026-04-30,1,8,13,2336,1
2,1,29,2026-04-26,1,8,7,2080,1
3,1,21,2026-03-09,1,2,8,740,1
4,1,29,2026-02-19,2,5,11,1805,2
5,1,5,2026-01-19,2,1,13,165,0
6,1,30,2026-03-07,2,8,17,2064,1
7,2,20,2026-04-14,2,6,21,2190,0
8,2,7,2026-05-17,1,3,14,804,1
9,2,18,2026-06-06,1,2,25,362,0
10,2,20,2026-04-30,1,2,22,504,1
11,2,9,2026-05-20,1,8,24,1280,2
12,2,18,2026-04-18,2,2,10,602,0
13,2,21,2026-04-12,1,7,6,1400,2
14,3,9,2025-08-29,1,9,13,2115,0
15,3,3,2025-10-26,2,9,16,1809,1
16,3,20,2025-08-03,1,1,27,261,0
17,3,11,2026-04-06,2,9,20,2970,1
18,3,22,2025-05-10,1,1,19,151,1
19,3,20,2026-06-10,1,8,12,2880,1
20,4,22,2025-10-03,3,18,76,19782,4
21,4,2,2026-02-15,5,19,52,10602,7
22,4,4,2025-04-14,4,43,144,47429,3
23,4,21,2025-03-19,5,41,112,40098,4
24,4,5,2025-03-04,7,34,125,25194,11
25,4,23,2025-03-28,7,28,101,14084,8
26,4,1,2025-08-03,3,20,86,22500,12
27,4,3,2026-01-19,6,55,108,61600,11
28,4,24,2026-01-19,2,21,79,23184,10
29,4,19,2025-09-05,6,60,162,47940,4
30,4,4,2026-06-26,2,28,80,27888,7
31,4,25,2025-10-25,6,25,56,18450,5
32,4,22,2025-05-26,3,42,112,46410,12
33,4,1,2025-12-31,5,18,57,13860,5
34,4,11,2025-05-04,2,32,113,17664,11
35,4,2,2025-04-17,2,49,56,32438,3
36,4,20,2026-01-09,4,25,177,26450,4
37,4,4,2026-05-29,3,26,60,24830,3
38,4,20,2025-11-06,7,39,148,39780,3
39,4,21,2025-11-28,5,27,70,28269,5
40,4,1,2025-10-11,4,57,126,42066,12
41,4,25,2025-10-04,2,39,49,21957,3
42,4,1,2025-09-24,5,42,120,49644,4
43,4,21,2026-04-29,3,35,100,20545,7
44,4,1,2026-03-20,7,24,72,24552,10
45,4,20,2025-07-10,3,50,133,50800,5
46,4,4,2025-12-15,7,54,150,62100,3
47,4,3,2025-06-19,7,26,87,15340,12
48,4,3,2025-09-28,2,55,132,63635,6
49,4,3,2026-02-02,7,60,133,43740,8
50,4,19,2025-04-17,5,48,75,38352,3
51,4,10,2026-02-16,7,37,167,41588,9
52,4,2,2026-02-25,4,50,51,38600,10
53,4,2,2025-03-27,5,18,70,19332,8
54,4,2,2025-05-14,4,36,174,41220,9
55,4,2,2025-02-22,6,34,88,35598,9
56,4,2,2026-01-02,2,50,68,38200,9
57,4,4,2025-12-27,6,22,112,11484,12
58,4,21,2025-07-25,2,25,131,15375,12
59,4,11,2025-06-29,4,28,166,19852,9
60,4,2,2025-10-23,7,49,48,41601,5
61,4,24,2026-06-07,4,28,88,28644,4
62,4,1,2026-06-02,3,45,90,36405,10
63,4,1,2026-01-03,2,50,96,58250,3
64,4,11,2025-07-20,4,18,161,19440,9
65,4,1,2025-10-20,7,54,162,30564,11
66,4,3,2025-12-23,6,58,144,31436,11
67,4,1,2026-05-11,5,52,175,55328,5
68,4,1,2025-10-06,4,49,127,29743,6
